dataset,pair,model,metric,score,n_segments,hyp_md5
wmt24pp,en-de_DE,hy-mt2-1.8b,ter,57.076566125290014,8,
wmt24pp,en-de_DE,translategemma-4b,ter,59.39675174013921,8,
wmt24pp,en-de_DE,hy-mt2-1.8b,comet22,0.8068087473511696,8,
wmt24pp,en-de_DE,translategemma-4b,comet22,0.8380916640162468,8,
wmt25,en-ja_JP,hy-mt2-1.8b,bleu,17.211486357107184,2,
wmt25,en-ja_JP,translategemma-4b,bleu,16.622071601692006,2,
wmt25,en-ja_JP,hy-mt2-1.8b,chrf++,23.005282723395855,2,
wmt25,en-ja_JP,translategemma-4b,chrf++,21.773236028734075,2,
wmt25,en-ja_JP,hy-mt2-1.8b,ter,86.08695652173914,2,
wmt25,en-ja_JP,translategemma-4b,ter,89.2490118577075,2,
wmt25,en-ja_JP,hy-mt2-1.8b,comet22,0.8499018549919128,2,
wmt25,en-ja_JP,translategemma-4b,comet22,0.8325432240962982,2,
wmt24pp,en-de_DE,hy-mt2-1.8b,bleu,29.28931638768268,8,178ed59c72101a70bf05db3cc2b69a1b
wmt24pp,en-de_DE,translategemma-4b,bleu,27.07705585608207,8,b11e3984556f137018d9f2cb78bbb2b7
wmt24pp,en-de_DE,translategemma-4b,chrf++,56.55482281256307,8,b11e3984556f137018d9f2cb78bbb2b7
wmt24pp,en-de_DE,hy-mt2-1.8b,chrf++,58.48034268423977,8,178ed59c72101a70bf05db3cc2b69a1b
wmt24pp,en-es_MX,hy-mt2-1.8b,bleu,40.66005446836584,960,499122d48c926d8132801ea3a5fec2ad
wmt24pp,en-es_MX,translategemma-4b,bleu,34.72452907402891,960,5742f6466266bd08a0d163eb21b0c3be
wmt24pp,es_MX-en,hy-mt2-1.8b,bleu,38.43864625362679,960,b000077c0ac80180cfe4a68ca297f797
wmt24pp,es_MX-en,translategemma-4b,bleu,35.467406247445304,960,9b8d65c30ebbb01352737e2fb6ff8eca
wmt24pp,en-es_MX,hy-mt2-1.8b,chrf++,63.35883545844939,960,499122d48c926d8132801ea3a5fec2ad
wmt24pp,en-es_MX,translategemma-4b,chrf++,59.62662140822387,960,5742f6466266bd08a0d163eb21b0c3be
wmt24pp,es_MX-en,hy-mt2-1.8b,chrf++,61.81367155832906,960,b000077c0ac80180cfe4a68ca297f797
wmt24pp,es_MX-en,translategemma-4b,chrf++,60.20958838202105,960,9b8d65c30ebbb01352737e2fb6ff8eca
wmt24pp,en-es_MX,hy-mt2-1.8b,ter,41.09474005649286,960,499122d48c926d8132801ea3a5fec2ad
wmt24pp,en-es_MX,translategemma-4b,ter,48.06982721327328,960,5742f6466266bd08a0d163eb21b0c3be
wmt24pp,es_MX-en,hy-mt2-1.8b,ter,42.41425152884871,960,b000077c0ac80180cfe4a68ca297f797
wmt24pp,es_MX-en,translategemma-4b,ter,45.82823717096517,960,9b8d65c30ebbb01352737e2fb6ff8eca
wmt24pp,en-es_MX,hy-mt2-1.8b,comet22,0.8247169046041866,960,499122d48c926d8132801ea3a5fec2ad
wmt24pp,en-es_MX,translategemma-4b,comet22,0.8277119982366761,960,5742f6466266bd08a0d163eb21b0c3be
wmt24pp,es_MX-en,hy-mt2-1.8b,comet22,0.8372332338554164,960,b000077c0ac80180cfe4a68ca297f797
wmt24pp,es_MX-en,translategemma-4b,comet22,0.835196418967098,960,9b8d65c30ebbb01352737e2fb6ff8eca
wmt24pp,en-de_DE,hy-mt2-1.8b,script_purity,93.75,8,178ed59c72101a70bf05db3cc2b69a1b
wmt24pp,en-de_DE,translategemma-4b,script_purity,100.0,8,b11e3984556f137018d9f2cb78bbb2b7
wmt24pp,en-es_MX,hy-mt2-1.8b,script_purity,93.85416666666669,960,499122d48c926d8132801ea3a5fec2ad
wmt24pp,en-es_MX,translategemma-4b,script_purity,100.0,960,5742f6466266bd08a0d163eb21b0c3be
wmt24pp,es_MX-en,hy-mt2-1.8b,script_purity,95.83333333333331,960,b000077c0ac80180cfe4a68ca297f797
wmt24pp,es_MX-en,translategemma-4b,script_purity,100.0,960,9b8d65c30ebbb01352737e2fb6ff8eca
wmt25,en-ja_JP,hy-mt2-1.8b,script_purity,100.0,2,4780bf06ef3e90101df5beb3c3e976bf
wmt25,en-ja_JP,translategemma-4b,script_purity,100.0,2,e082c165366a95a73d54db58f0ab3eb0
